teacher_id,first_name,last_name,email,phone,gender,age,department_id,department,designation,qualification,experience,salary,joining_year,status,address,created_at
T00013,Jason,Berry,teacher13@edupredict.com,03167811048,Male,39,DEP008,Accounting,Lecturer,PhD Artificial Intelligence,32,180062.0,2023.0,Active,"27327 Elizabeth Highway Suite 094, West Taylorview, AS 07168",2026-08-08 12:38:27.089
T00014,Cheryl,Watson,teacher14@edupredict.com,03366366177,Female,54,DEP007,Business Administration,Lecturer,MS Software Engineering,4,178116.0,2015.0,Active,"3162 Maxwell Cliff, Lake Jeffery, ME 93020",2026-08-08 12:38:27.089
T00015,Julie,Johnson,teacher15@edupredict.com,03601609321,Male,37,DEP001,Computer Science,Lecturer,PhD Information Technology,7,244176.0,2026.0,Active,"15771 Michael Path, South Jeffreymouth, RI 00829",2026-08-08 12:38:27.091
T00016,Charles,Reyes,teacher16@edupredict.com,03341618788,Male,53,DEP018,Physics,Lecturer,PhD Artificial Intelligence,31,312325.0,2023.0,Active,"Unit 1372 Box 0833, DPO AE 46732",2026-08-08 12:38:27.092
T00017,Frank,Wolf,teacher17@edupredict.com,03381068911,Female,47,DEP003,Information Technology,Lecturer,MPhil Computer Science,5,158520.0,2026.0,Inactive,"614 Katherine Ville Suite 119, Port Donaldmouth, TN 35757",2026-08-08 12:38:27.092
T00018,Adam,Murray,teacher18@edupredict.com,03365082893,Female,51,DEP007,Business Administration,Assistant Professor,PhD Artificial Intelligence,7,272228.0,2016.0,Active,"8198 Amy Turnpike Apt. 598, South Sylvia, PR 28730",2026-08-08 12:38:27.093
T00019,Alex,Estrada,teacher19@edupredict.com,03715991554,Female,41,DEP020,Biology,Assistant Professor,MPhil Computer Science,30,175345.0,2014.0,Inactive,"566 Jennings Rapids, Carlsonville, IL 34840",2026-08-08 12:38:27.094
T00020,Melissa,Chapman,teacher20@edupredict.com,03231789824,Female,53,DEP015,Civil Engineering,Lecturer,MS Software Engineering,3,239259.0,2024.0,Inactive,"007 Bauer Pine, East Cheryl, ND 13766",2026-08-08 12:38:27.095
T00021,James,Gonzalez,teacher21@edupredict.com,03957992763,Male,60,DEP009,Finance,Associate Professor,PhD Computer Science,26,178975.0,2012.0,Active,"856 Richardson Shores Apt. 754, Eugeneville, PA 66405",2026-08-08 12:38:27.095
T00022,Carrie,Mcguire,teacher22@edupredict.com,03960691103,Female,29,DEP005,Data Science,Assistant Professor,PhD Computer Science,20,123373.0,2010.0,Active,"414 Walsh Plains, Vazquezville, MN 32882",2026-08-08 12:38:27.096
T00023,Danny,Mcbride,teacher23@edupredict.com,03766847416,Male,30,DEP020,Biology,Lecturer,PhD Artificial Intelligence,31,310723.0,2013.0,Inactive,"30953 Holly Burg, Stevensshire, VA 35545",2026-08-08 12:38:27.097
T00024,Samantha,Thomas,teacher24@edupredict.com,03311051315,Male,55,DEP012,Management,Assistant Professor,MS Computer Science,30,71314.0,2012.0,Active,"708 Jones Mill, West Karina, NE 51004",2026-08-08 12:38:27.098
T00025,Patricia,Cooper,teacher25@edupredict.com,03174088762,Male,55,DEP015,Civil Engineering,Assistant Professor,BS Computer Science,35,195910.0,2017.0,Inactive,"02427 Mora Grove, Alvaradotown, HI 54427",2026-08-08 12:38:27.098
T00026,Angelica,Cobb,teacher26@edupredict.com,03275224225,Female,25,DEP012,Management,Lecturer,PhD Information Technology,29,292056.0,2013.0,Active,"98924 Laura Ports Suite 050, South Courtneyview, LA 03116",2026-08-08 12:38:27.100
T00027,Amy,Williams,teacher27@edupredict.com,03913355445,Female,31,DEP005,Data Science,Lecturer,MS Computer Science,9,122008.0,2020.0,Active,"336 Meyer Meadows Apt. 517, North Daniel, TX 33755",2026-08-08 12:38:27.101
T00028,Clinton,Kirby,teacher28@edupredict.com,03724924436,Female,36,DEP001,Computer Science,Lecturer,MS Data Science,31,129394.0,2013.0,Active,"914 Butler Mountains, East Craigbury, NM 27742",2026-08-08 12:38:27.102
T00029,Joshua,Mendez,teacher29@edupredict.com,03502318353,Male,53,DEP006,Cyber Security,Assistant Professor,BS Computer Science,16,75798.0,2021.0,Inactive,"7335 Porter Loop Apt. 489, East Melaniebury, GU 91727",2026-08-08 12:38:27.103
T00030,Dennis,Kim,teacher30@edupredict.com,03387576901,Male,56,DEP013,Electrical Engineering,Associate Professor,MS Computer Science,14,207357.0,2010.0,Active,"86364 Rose Trail Apt. 852, Hubbardmouth, UT 47771",2026-08-08 12:38:27.104
T00031,Diana,Jennings,teacher31@edupredict.com,03910881140,Male,60,DEP006,Cyber Security,Lecturer,BS Computer Science,32,271057.0,2014.0,Active,"9185 Susan Terrace Apt. 626, New Carla, PR 46604",2026-08-08 12:38:27.104
T00032,Amanda,Perez,teacher32@edupredict.com,03756587083,Male,37,DEP007,Business Administration,Associate Professor,PhD Computer Science,32,345245.0,2020.0,Active,"478 Leon Coves, Oneillton, MO 48751",2026-08-08 12:38:27.105
T00033,James,Saunders,teacher33@edupredict.com,03495012166,Male,56,DEP014,Mechanical Engineering,Associate Professor,MS Software Engineering,19,154273.0,2013.0,Active,"407 Mckee Trail Apt. 673, Willisfort, LA 26243",2026-08-08 12:38:27.106
T00034,Brian,Abbott,teacher34@edupredict.com,03736761257,Male,44,DEP020,Biology,Lecturer,MS Software Engineering,6,206034.0,2024.0,Active,"4157 Walker Land Apt. 998, Nelsonstad, NC 64186",2026-08-08 12:38:27.107
T00035,Sherry,Meza,teacher35@edupredict.com,03981186995,Female,32,DEP018,Physics,Associate Professor,PhD Computer Science,8,100120.0,2022.0,Active,"441 Jay Path Suite 457, Stephenmouth, OH 84473",2026-08-08 12:38:27.107
T00036,Lisa,Floyd,teacher36@edupredict.com,03326643498,Male,45,DEP007,Business Administration,Assistant Professor,MS Computer Science,2,289668.0,2024.0,Active,"USNS Estes, FPO AE 91546",2026-08-08 12:38:27.108
T00037,Kayla,Wilson,teacher37@edupredict.com,03454121200,Male,31,DEP009,Finance,Assistant Professor,MS Computer Science,34,319136.0,2010.0,Active,"Unit 1303 Box 6065, DPO AP 21853",2026-08-08 12:38:27.108
T00038,Brenda,Brown,teacher38@edupredict.com,03172086173,Female,35,DEP011,Marketing,Associate Professor,PhD Information Technology,28,272012.0,2023.0,Active,"40243 Mary Mountain Apt. 780, Lindabury, VT 19542",2026-08-08 12:38:27.109
T00039,Chad,Love,teacher39@edupredict.com,03299887477,Male,30,DEP015,Civil Engineering,Lecturer,MPhil Computer Science,18,161258.0,2025.0,Active,"0636 Zachary Freeway, North Karl, AL 68212",2026-08-08 12:38:27.110
T00040,David,West,teacher40@edupredict.com,03416934067,Female,55,DEP019,Chemistry,Lecturer,MPhil Computer Science,27,278917.0,2015.0,Inactive,"PSC 9574, Box 6773, APO AA 03968",2026-08-08 12:38:27.110
T00041,Natalie,Frederick,teacher41@edupredict.com,03163671831,Male,44,DEP012,Management,Assistant Professor,MS Computer Science,25,90237.0,2021.0,Active,"06267 Becker Knolls, East Mark, NC 15662",2026-08-08 12:38:27.112
T00042,Stephanie,Schultz,teacher42@edupredict.com,03504831889,Female,42,DEP003,Information Technology,Associate Professor,BS Computer Science,35,234072.0,2011.0,Active,"75963 Karen Groves, West Ryanfurt, ID 01977",2026-08-08 12:38:27.112
T00043,Jeremy,Hansen,teacher43@edupredict.com,03765607481,Female,58,DEP006,Cyber Security,Assistant Professor,PhD Computer Science,27,288794.0,2026.0,Active,"1537 Jeanne Square Apt. 982, Jessemouth, RI 38611",2026-08-08 12:38:27.113
T00044,Michael,Ramirez,teacher44@edupredict.com,03302368831,Female,31,DEP019,Chemistry,Professor,PhD Computer Science,6,125108.0,2018.0,Active,"557 Lowe Via, Jeanettefort, WI 92635",2026-08-08 12:38:27.114
T00045,Kenneth,Cobb,teacher45@edupredict.com,03983627967,Male,30,DEP019,Chemistry,Associate Professor,MS Data Science,27,154445.0,2025.0,Active,"9050 Michelle Radial Suite 753, Saraland, IN 88377",2026-08-08 12:38:27.114
T00046,Roger,Kaufman,teacher46@edupredict.com,03208001653,Female,39,DEP008,Accounting,Professor,PhD Computer Science,18,299047.0,2026.0,Active,"92105 Sydney Ford, New Gabriela, RI 36232",2026-08-08 12:38:27.115
T00047,Angela,Barker,teacher47@edupredict.com,03607037328,Male,39,DEP012,Management,Associate Professor,MS Data Science,32,285807.0,2016.0,Active,"45060 Fisher Orchard, Robertsonhaven, KS 71632",2026-08-08 12:38:37.775
T00048,Timothy,Humphrey,teacher48@edupredict.com,03711244728,Male,40,DEP017,Mathematics,Assistant Professor,MPhil Computer Science,29,143038.0,2025.0,Active,"8873 Laura Tunnel Suite 471, Michaelmouth, CT 76512",2026-08-08 12:38:37.776
T00049,David,Rodriguez,teacher49@edupredict.com,03304076556,Female,42,DEP014,Mechanical Engineering,Professor,PhD Information Technology,11,348826.0,2021.0,Active,"26191 Thomas Village, Lake Theresamouth, IL 69592",2026-08-08 12:38:37.777
T00050,Mary,Martinez,teacher50@edupredict.com,03921602315,Female,48,DEP013,Electrical Engineering,Assistant Professor,PhD Computer Science,15,247679.0,2021.0,Active,"689 Joel Skyway, Shepherdview, ND 27565",2026-08-08 12:38:37.777
T00051,April,Larson,teacher51@edupredict.com,03664831470,Female,26,DEP003,Information Technology,Associate Professor,BS Computer Science,25,161147.0,2023.0,Active,"79701 Chavez Mews Apt. 336, West Gregoryfurt, CT 39849",2026-08-08 12:38:37.778
T00052,Brandy,Smith,teacher52@edupredict.com,03639183025,Female,47,DEP005,Data Science,Lecturer,PhD Computer Science,11,123273.0,2018.0,Active,"902 Bell Camp Apt. 629, Lake Cherylburgh, TN 44955",2026-08-08 12:38:37.779
T00053,Melissa,Mahoney,teacher53@edupredict.com,03725785682,Male,45,DEP017,Mathematics,Lecturer,MS Computer Science,25,101364.0,2022.0,Active,"1900 Scott Valley, Theresabury, OH 58520",2026-08-08 12:38:37.779
T00054,Jennifer,Andrade,teacher54@edupredict.com,03148371262,Female,42,DEP017,Mathematics,Lecturer,PhD Information Technology,17,144795.0,2023.0,Active,"0868 Thomas Fort Apt. 002, Port Joshua, NH 83021",2026-08-08 12:38:37.780
T00055,Ashley,Blackburn,teacher55@edupredict.com,03894482482,Female,55,DEP008,Accounting,Associate Professor,PhD Computer Science,4,220260.0,2025.0,Active,"58189 Jason Ports, Andersonport, MN 46762",2026-08-08 12:38:37.781
T00056,Valerie,Webb,teacher56@edupredict.com,03624068388,Female,29,DEP012,Management,Associate Professor,PhD Information Technology,34,249717.0,2017.0,Active,"4006 Tyler Brooks Suite 990, Lake Nathan, KS 39870",2026-08-08 12:38:37.782
T00057,Eric,Horne,teacher57@edupredict.com,03781752898,Female,42,DEP002,Software Engineering,Associate Professor,PhD Information Technology,27,245345.0,2016.0,Inactive,"224 Anderson Ferry, Hollyberg, TN 06684",2026-08-08 12:38:37.782
T00058,Christian,Meyers,teacher58@edupredict.com,03415384204,Male,38,DEP009,Finance,Assistant Professor,MS Software Engineering,17,255120.0,2024.0,Active,"280 Hansen Canyon, Shawton, ME 29186",2026-08-08 12:38:37.783
T00059,Jasmine,Nelson,teacher59@edupredict.com,03699377069,Male,25,DEP015,Civil Engineering,Assistant Professor,PhD Computer Science,7,132305.0,2012.0,Active,"6645 Ashley Trace, New Richard, WA 49471",2026-08-08 12:38:37.785
T00060,Paul,Williams,teacher60@edupredict.com,03922199210,Male,51,DEP001,Computer Science,Lecturer,MS Data Science,21,155410.0,2011.0,Active,"695 Heidi Springs, Gomezbury, VI 94448",2026-08-08 12:38:37.786
T00061,Kimberly,Boone,teacher61@edupredict.com,03126493912,Female,25,DEP015,Civil Engineering,Assistant Professor,MS Software Engineering,16,160843.0,2024.0,Inactive,"USNV Tyler, FPO AP 12237",2026-08-08 12:38:37.788
T00062,Beth,Rivers,teacher62@edupredict.com,03602863328,Male,47,DEP002,Software Engineering,Professor,PhD Computer Science,10,106653.0,2011.0,Active,"6310 Colleen Turnpike Suite 908, Bradbury, MP 13051",2026-08-08 12:38:37.789
T00063,Kristen,Davis,teacher63@edupredict.com,03498260726,Male,51,DEP008,Accounting,Assistant Professor,MS Data Science,9,341267.0,2018.0,Active,"2530 Ruben Forge Suite 647, Weaverburgh, NH 63144",2026-08-08 12:38:37.790
T00064,Sharon,Sawyer,teacher64@edupredict.com,03408544135,Female,25,DEP004,Artificial Intelligence,Lecturer,PhD Information Technology,20,251965.0,2024.0,Active,"3026 Charles Circle Apt. 839, Erikaberg, DE 54804",2026-08-08 12:38:37.790
T00065,Jacqueline,Scott,teacher65@edupredict.com,03587346276,Female,39,DEP013,Electrical Engineering,Professor,BS Computer Science,20,117704.0,2011.0,Active,"0962 Jo Fields Suite 224, Port Jameston, GU 04955",2026-08-08 12:38:37.791
T00066,Valerie,Osborne,teacher66@edupredict.com,03248935912,Female,54,DEP013,Electrical Engineering,Associate Professor,PhD Artificial Intelligence,13,179468.0,2020.0,Active,"1408 Lopez Motorway Apt. 487, Danielsfurt, KS 76555",2026-08-08 12:38:37.792
T00067,Matthew,Berger,teacher67@edupredict.com,03812221122,Male,32,DEP004,Artificial Intelligence,Lecturer,BS Computer Science,30,254656.0,2022.0,Active,"38196 Alexandria Stravenue Apt. 870, East Josephfurt, PR 22498",2026-08-08 12:38:37.792
T00068,Ryan,Smith,teacher68@edupredict.com,03907380181,Male,42,DEP005,Data Science,Lecturer,MS Software Engineering,28,277786.0,2022.0,Active,"44528 Daniel Valley, Zunigastad, TN 84396",2026-08-08 12:38:37.793
T00069,Catherine,Peck,teacher69@edupredict.com,03550344284,Male,52,DEP008,Accounting,Associate Professor,MS Computer Science,24,181610.0,2025.0,Active,"Unit 6032 Box 9008, DPO AE 50177",2026-08-08 12:38:37.794
T00070,Maria,Kelly,teacher70@edupredict.com,03843940205,Male,59,DEP004,Artificial Intelligence,Assistant Professor,PhD Artificial Intelligence,15,165739.0,2020.0,Active,"65320 Watts Underpass Suite 595, Gravesberg, AK 81469",2026-08-08 12:38:37.795
T00071,Greg,Lambert,teacher71@edupredict.com,03472453621,Female,58,DEP010,Economics,Associate Professor,BS Computer Science,24,255034.0,2025.0,Active,"28055 Amy Land, Buckton, PA 49334",2026-08-08 12:38:37.795
T00072,Emily,Olson,teacher72@edupredict.com,03860833141,Female,44,DEP010,Economics,Lecturer,MPhil Computer Science,29,281987.0,2020.0,Active,"93054 Nicole Locks Suite 136, Kellyside, GU 68864",2026-08-08 12:38:37.796
T00073,Joshua,Green,teacher73@edupredict.com,03131197639,Male,57,DEP011,Marketing,Professor,PhD Information Technology,24,200496.0,2018.0,Inactive,"7839 Caldwell Island Suite 766, Lake Tracyfurt, NH 31585",2026-08-08 12:38:37.797
T00074,Richard,Chavez,teacher74@edupredict.com,03349321542,Female,27,DEP003,Information Technology,Assistant Professor,MS Software Engineering,12,185019.0,2014.0,Active,"1987 Peter Cliffs Suite 477, New Laurieberg, OR 31526",2026-08-08 12:38:37.797
T00075,Jamie,Ingram,teacher75@edupredict.com,03196225219,Male,38,DEP011,Marketing,Assistant Professor,MS Software Engineering,5,232918.0,2012.0,Active,"2576 James Mission Suite 570, Davidbury, NH 46667",2026-08-08 12:38:37.798
T00076,Rachael,Horne,teacher76@edupredict.com,03466908968,Male,49,DEP009,Finance,Lecturer,MS Data Science,27,322920.0,2024.0,Active,"270 Leon Road Suite 207, Westfurt, VI 85632",2026-08-08 12:38:37.799
T00077,Sarah,Vance,teacher77@edupredict.com,03374587349,Female,47,DEP017,Mathematics,Associate Professor,MS Software Engineering,32,333573.0,2024.0,Active,"3551 Melissa Lane Apt. 936, Kimburgh, CT 57111",2026-08-08 12:38:37.801
T00078,Yvonne,Mcintosh,teacher78@edupredict.com,03952362599,Female,43,DEP002,Software Engineering,Professor,MS Computer Science,23,255603.0,2020.0,Active,"94980 Joshua Harbors Apt. 578, New Erinside, KS 79310",2026-08-08 12:38:37.801
T00079,Nicole,Yoder,teacher79@edupredict.com,03234172897,Male,31,DEP019,Chemistry,Assistant Professor,BS Computer Science,2,149900.0,2022.0,Inactive,"USNV Rivera, FPO AP 30114",2026-08-08 12:38:37.802
T00080,James,Riley,teacher80@edupredict.com,03183231803,Male,55,DEP020,Biology,Lecturer,PhD Information Technology,14,346364.0,2013.0,Active,"58704 Sandoval Pine, Jimenezport, UT 10859",2026-08-08 12:38:37.803
T00081,John,Young,teacher81@edupredict.com,03109725964,Female,59,DEP012,Management,Lecturer,PhD Computer Science,1,336087.0,2025.0,Active,"4781 Tiffany Tunnel Suite 973, West Erikaview, MD 97418",2026-08-08 12:38:37.805
T00082,Tina,Brown,teacher82@edupredict.com,03676893479,Male,58,DEP009,Finance,Lecturer,BS Computer Science,7,223854.0,2018.0,Inactive,"77061 Morris Trail Apt. 940, East Jane, ME 97750",2026-08-08 12:38:37.805
T00083,Allen,Griffin,teacher83@edupredict.com,03727801213,Female,27,DEP016,Architecture,Lecturer,PhD Information Technology,29,273684.0,2023.0,Inactive,"0826 Hammond Road, West Bradley, WA 93227",2026-08-08 12:38:37.806
T00084,Joshua,Taylor,teacher84@edupredict.com,03320927295,Female,29,DEP007,Business Administration,Associate Professor,MPhil Computer Science,10,274189.0,2013.0,Active,"00525 Jonathan Manors, Lake Amandaton, OH 99395",2026-08-08 12:38:37.807
T00085,Dennis,Lowe,teacher85@edupredict.com,03120213531,Male,54,DEP017,Mathematics,Lecturer,MPhil Computer Science,25,253759.0,2011.0,Active,"65721 Tammy Avenue Apt. 535, Robertland, MS 17154",2026-08-08 12:38:37.807
T00086,Travis,Robertson,teacher86@edupredict.com,03286831065,Male,35,DEP014,Mechanical Engineering,Associate Professor,BS Computer Science,18,118597.0,2010.0,Active,"12223 Pamela Street Apt. 060, Port Corey, CO 92366",2026-08-08 12:38:37.808
T00087,Shannon,Patton,teacher87@edupredict.com,03574852971,Male,46,DEP008,Accounting,Assistant Professor,PhD Computer Science,29,223109.0,2014.0,Active,"2690 Schneider Mission Apt. 690, Tinachester, MS 16993",2026-08-08 12:38:37.809
T00088,Jay,James,teacher88@edupredict.com,03464787918,Male,59,DEP015,Civil Engineering,Professor,PhD Information Technology,10,190776.0,2017.0,Active,"44121 Wyatt Key, Mitchelltown, MO 37385",2026-08-08 12:38:37.810
T00089,Charles,Haynes,teacher89@edupredict.com,03107298328,Male,36,DEP001,Computer Science,Associate Professor,PhD Information Technology,8,90924.0,2016.0,Active,"PSC 3151, Box 3996, APO AE 12428",2026-08-08 12:38:37.810
T00090,Lauren,Martinez,teacher90@edupredict.com,03951204183,Male,59,DEP012,Management,Assistant Professor,PhD Computer Science,30,137591.0,2022.0,Inactive,"791 Medina Loop, Port Melissa, NM 53428",2026-08-08 12:38:37.811
T00091,Allen,Anderson,teacher91@edupredict.com,03499035553,Female,40,DEP010,Economics,Professor,PhD Artificial Intelligence,29,226194.0,2011.0,Inactive,"136 Frederick Route Apt. 263, North Gregoryview, OH 50501",2026-08-08 12:38:37.811
T00092,Maria,Johnson,teacher92@edupredict.com,03271397238,Female,26,DEP014,Mechanical Engineering,Professor,BS Computer Science,16,265327.0,2017.0,Active,"540 Goodman Springs, South Kennethview, MN 84630",2026-08-08 12:38:45.304
T00093,Courtney,Neal,teacher93@edupredict.com,03884708511,Male,26,DEP005,Data Science,Assistant Professor,MPhil Computer Science,20,272147.0,2014.0,Active,"USS Sims, FPO AE 91132",2026-08-08 12:38:45.304
T00094,Deborah,Valenzuela,teacher94@edupredict.com,03850218406,Male,33,DEP012,Management,Lecturer,MS Computer Science,2,217697.0,2015.0,Active,"759 Debra Way Apt. 657, South Timothy, DC 20048",2026-08-08 12:38:45.305
T00095,Mark,Mahoney,teacher95@edupredict.com,03650489023,Male,49,DEP005,Data Science,Lecturer,PhD Information Technology,33,99498.0,2019.0,Active,"9925 Sonya Rapid Apt. 610, North Monicastad, NH 63550",2026-08-08 12:38:45.306
T00096,Lindsey,Hudson,teacher96@edupredict.com,03393494962,Male,26,DEP002,Software Engineering,Assistant Professor,MS Software Engineering,26,275860.0,2018.0,Active,"77048 Christopher Mount Apt. 882, South Lisafort, NM 29454",2026-08-08 12:38:45.306
T00097,Amy,Glenn,teacher97@edupredict.com,03405061136,Male,40,DEP012,Management,Professor,PhD Artificial Intelligence,25,93583.0,2026.0,Active,"USS Gross, FPO AE 86083",2026-08-08 12:38:45.307
T00098,James,Mcdonald,teacher98@edupredict.com,03881708601,Female,47,DEP001,Computer Science,Lecturer,BS Computer Science,27,255361.0,2017.0,Active,"6829 Wilson Mountain, West Andrew, AL 02267",2026-08-08 12:38:45.308
T00099,Emily,Howard,teacher99@edupredict.com,03139680925,Male,45,DEP003,Information Technology,Lecturer,MS Computer Science,7,313931.0,2018.0,Active,"948 Chang Crescent, East Fernando, NJ 13777",2026-08-08 12:38:45.308
T00100,Theresa,Martinez,teacher100@edupredict.com,03511907346,Male,31,DEP009,Finance,Lecturer,MPhil Computer Science,33,210979.0,2011.0,Active,"556 Barnes Streets, Butlertown, WY 53351",2026-08-08 12:38:45.309
T00101,Thomas,Norton,teacher101@edupredict.com,03853502014,Male,31,DEP002,Software Engineering,Professor,MS Computer Science,25,257564.0,2022.0,Inactive,"32243 Martin Vista Apt. 914, North Michellestad, DE 78103",2026-08-08 12:38:45.310
T00102,Desiree,Mullins,teacher102@edupredict.com,03313934486,Male,25,DEP012,Management,Professor,MS Data Science,14,269347.0,2023.0,Active,"213 Mcgrath Hills, East Ryanmouth, NM 24099",2026-08-08 12:38:45.311
T00103,Virginia,Oliver,teacher103@edupredict.com,03680822416,Female,36,DEP014,Mechanical Engineering,Professor,PhD Information Technology,10,259904.0,2017.0,Active,"5858 Little Junction Apt. 394, Odomside, ND 85422",2026-08-08 12:38:45.312
T00104,Michael,Horton,teacher104@edupredict.com,03324417375,Male,35,DEP015,Civil Engineering,Professor,BS Computer Science,5,169421.0,2011.0,Active,"422 Johnson Street, Lake Kimberly, HI 44342",2026-08-08 12:38:45.313
T00105,Megan,Adkins,teacher105@edupredict.com,03966614634,Male,58,DEP018,Physics,Associate Professor,MPhil Computer Science,8,287214.0,2018.0,Active,"1436 Jones Spring, Port Shelbychester, GA 26516",2026-08-08 12:38:45.314
T00106,David,West,teacher106@edupredict.com,03382391442,Female,26,DEP015,Civil Engineering,Professor,MPhil Computer Science,6,170677.0,2016.0,Active,"4543 Ann Ports, North Tony, CO 19210",2026-08-08 12:38:45.314
T00107,Jeffrey,Levy,teacher107@edupredict.com,03802447668,Female,32,DEP005,Data Science,Assistant Professor,MS Data Science,4,87819.0,2019.0,Active,"138 Armstrong Inlet Apt. 830, East Jennafurt, CT 71328",2026-08-08 12:38:45.315
T00108,Brooke,Castillo,teacher108@edupredict.com,03416807130,Female,32,DEP017,Mathematics,Associate Professor,BS Computer Science,33,344923.0,2018.0,Active,"331 Holt Divide Apt. 149, Bradleyton, KS 44873",2026-08-08 12:38:45.316
T00109,Robert,Davis,teacher109@edupredict.com,03238674906,Female,57,DEP015,Civil Engineering,Professor,MS Data Science,35,109754.0,2022.0,Active,"336 Velez Shoals Suite 494, South Taylorport, AS 55716",2026-08-08 12:38:45.316
T00110,Kimberly,Clayton,teacher110@edupredict.com,03458451372,Female,36,DEP019,Chemistry,Professor,MS Data Science,13,184451.0,2026.0,Active,"3834 Garcia Freeway Apt. 012, Anitaside, VT 55503",2026-08-08 12:38:45.317
T00111,Gary,Rose,teacher111@edupredict.com,03715910787,Female,57,DEP003,Information Technology,Lecturer,BS Computer Science,29,97417.0,2013.0,Active,"7307 Gary Garden, East Jeffrey, AK 38070",2026-08-08 12:38:45.318
T00112,Bryan,Faulkner,teacher112@edupredict.com,03533057550,Male,52,DEP020,Biology,Lecturer,MS Computer Science,3,90463.0,2018.0,Active,"4563 Shari Isle, Lake Jenniferchester, WA 35044",2026-08-08 12:38:45.318
T00113,Maria,Jensen,teacher113@edupredict.com,03689468784,Female,56,DEP006,Cyber Security,Associate Professor,PhD Information Technology,27,97818.0,2017.0,Active,"8618 Rhonda Streets Apt. 810, Brittanychester, ID 35871",2026-08-08 12:38:45.319
T00114,Daniel,Duncan,teacher114@edupredict.com,03149642765,Male,49,DEP002,Software Engineering,Associate Professor,PhD Artificial Intelligence,17,185768.0,2022.0,Active,"82846 Kathryn Pass, Bradtown, ME 93409",2026-08-08 12:38:45.320
T00115,Susan,Nelson,teacher115@edupredict.com,03117995956,Female,60,DEP005,Data Science,Associate Professor,PhD Artificial Intelligence,21,286192.0,2014.0,Active,"091 Mary Extensions Suite 811, Jamiebury, NY 42626",2026-08-08 12:38:45.320
T00116,Mikayla,Orozco,teacher116@edupredict.com,03287464656,Female,60,DEP020,Biology,Lecturer,MPhil Computer Science,9,334216.0,2011.0,Active,"365 Frey Drive, Meganton, PR 95062",2026-08-08 12:38:45.321
T00117,Rebecca,Nielsen,teacher117@edupredict.com,03872636660,Male,60,DEP012,Management,Professor,PhD Artificial Intelligence,27,100440.0,2021.0,Active,"93567 Alyssa Groves Apt. 057, Connerborough, PW 56086",2026-08-08 12:38:45.322
T00118,Darryl,Jenkins,teacher118@edupredict.com,03394681569,Male,52,DEP016,Architecture,Lecturer,PhD Computer Science,4,235761.0,2019.0,Inactive,"13690 Danielle Prairie, Deborahton, NE 44341",2026-08-08 12:38:45.323
