student_id,first_name,last_name,email,phone,gender,age,department_id,department,teacher_id,semester,cgpa,attendance,status,address,admission_year,created_at
S000013,Jennifer,Macdonald,student13@edupredict.com,03967736038,Male,26,DEP001,Computer Science,T00148,7,2.97,87.0,Active,"89958 Jones Bypass Apt. 996, New Michaelton, AZ 72507",2022.0,2026-08-08 12:39:20.049
S000014,Jasmine,Sanchez,student14@edupredict.com,03145622688,Male,24,DEP016,Architecture,T00158,7,2.82,71.0,Active,"083 Charles Points, Kaylastad, ID 10944",2026.0,2026-08-08 12:39:20.050
S000015,Dustin,Mclaughlin,student15@edupredict.com,03346235832,Female,19,DEP005,Data Science,T00027,5,2.85,86.0,Active,"552 Keith Hollow Suite 855, Lake Melissa, MD 32498",2026.0,2026-08-08 12:39:20.051
S000016,Erica,Young,student16@edupredict.com,03229017691,Female,26,DEP016,Architecture,T00184,2,3.32,77.0,Active,"30413 Edwards Rue, Laceyfort, PR 56898",2026.0,2026-08-08 12:39:20.051
S000017,Stephanie,Hoover,student17@edupredict.com,03648320622,Female,20,DEP003,Information Technology,T00247,2,2.99,92.0,Active,"4999 Cunningham Mission Suite 603, Smithville, UT 79055",2024.0,2026-08-08 12:39:20.052
S000018,Joshua,Lee,student18@edupredict.com,03522583539,Male,22,DEP020,Biology,T00267,1,2.54,63.0,Active,"05528 Castaneda Corner, Jensenfort, LA 30630",2021.0,2026-08-08 12:39:20.053
S000019,Matthew,Rice,student19@edupredict.com,03926887758,Male,23,DEP013,Electrical Engineering,T00066,4,2.05,76.0,Active,"68720 Danielle Hollow, Margaretchester, SC 80787",2026.0,2026-08-08 12:39:20.054
S000020,Maria,Manning,student20@edupredict.com,03894782424,Male,18,DEP019,Chemistry,T00004,7,3.15,70.0,Active,"PSC 5335, Box 4252, APO AA 70039",2023.0,2026-08-08 12:39:20.054
S000021,Curtis,King,student21@edupredict.com,03902593235,Male,21,DEP014,Mechanical Engineering,T00174,5,2.3,55.0,Active,"83178 Camacho Shoals Suite 727, Nguyenfurt, WY 80754",2025.0,2026-08-08 12:39:20.055
S000022,Joy,Calderon,student22@edupredict.com,03626912223,Male,27,DEP005,Data Science,T00164,4,3.96,97.0,Active,"174 Phillips Parkways Apt. 124, New Thomasmouth, MP 65909",2026.0,2026-08-08 12:39:20.056
S000023,Lori,Walker,student23@edupredict.com,03125499729,Male,22,DEP012,Management,T00102,4,2.19,69.0,Active,"8674 Harris Locks, New Maureen, VA 32705",2025.0,2026-08-08 12:39:20.057
S000024,Heather,Nunez,student24@edupredict.com,03566753312,Male,27,DEP015,Civil Engineering,T00104,2,3.62,69.0,Active,"PSC 5362, Box 4351, APO AA 83355",2021.0,2026-08-08 12:39:20.057
S000025,Matthew,Schneider,student25@edupredict.com,03555974455,Male,25,DEP017,Mathematics,T00161,8,3.11,73.0,Inactive,"370 Munoz Manor, East Rebecca, NY 28548",2025.0,2026-08-08 12:39:20.058
S000026,Marcus,Bush,student26@edupredict.com,03328925302,Female,24,DEP016,Architecture,T00083,3,3.5,62.0,Active,"29968 Tiffany Hill Apt. 522, Stevenside, MD 79279",2025.0,2026-08-08 12:39:20.059
S000027,Paul,Thompson,student27@edupredict.com,03266079106,Male,28,DEP003,Information Technology,T00163,5,2.25,89.0,Inactive,"4292 Beck Mountain, Port Bobbymouth, CA 67586",2025.0,2026-08-08 12:39:20.059
S000028,Kevin,Flores,student28@edupredict.com,03210385441,Female,27,DEP011,Marketing,T00218,4,2.76,93.0,Active,"41744 Martin Islands Apt. 240, Amyport, MT 11288",2024.0,2026-08-08 12:39:20.060
S000029,Elizabeth,Anderson,student29@edupredict.com,03120264191,Female,27,DEP008,Accounting,T00186,5,3.89,66.0,Active,"9080 Hurley Road, Aaronstad, TX 73904",2024.0,2026-08-08 12:39:20.061
S000030,Laura,Ellison,student30@edupredict.com,03351728940,Female,27,DEP018,Physics,T00156,6,2.4,65.0,Active,"89278 Miller Pines, Huntshire, LA 52647",2025.0,2026-08-08 12:39:20.062
S000031,Katherine,Smith,student31@edupredict.com,03336479758,Male,27,DEP018,Physics,T00035,2,3.89,50.0,Active,"1396 April Point Suite 572, Grantshire, MT 01551",2026.0,2026-08-08 12:39:20.062
S000032,William,Dennis,student32@edupredict.com,03874980847,Male,28,DEP001,Computer Science,T00284,5,3.66,98.0,Active,"5521 Decker Walks Apt. 369, Blackmouth, MH 00890",2026.0,2026-08-08 12:39:20.063
S000033,Matthew,Dominguez,student33@edupredict.com,03205336789,Female,23,DEP013,Electrical Engineering,T00278,1,2.45,51.0,Active,"30849 Hicks Road Suite 419, South Mark, WY 97607",2021.0,2026-08-08 12:39:20.064
S000034,Aaron,Trujillo,student34@edupredict.com,03628767507,Male,26,DEP015,Civil Engineering,T00196,6,3.67,76.0,Active,"1811 Ronnie Highway Suite 950, Jimburgh, CT 84198",2026.0,2026-08-08 12:39:20.065
S000035,Edward,Jackson,student35@edupredict.com,03897158272,Male,25,DEP014,Mechanical Engineering,T00243,4,2.16,58.0,Active,"90772 Benjamin Ways Suite 982, Travisport, WA 85167",2025.0,2026-08-08 12:39:20.065
S000036,Lawrence,Jefferson,student36@edupredict.com,03420986113,Female,19,DEP018,Physics,T00172,8,3.94,94.0,Active,"USNS Garrett, FPO AP 39170",2022.0,2026-08-08 12:39:20.066
S000037,Heather,Newman,student37@edupredict.com,03312771042,Male,26,DEP002,Software Engineering,T00265,6,3.28,50.0,Active,"08848 Gabriel Ridges Apt. 950, Chaneyland, TN 46236",2024.0,2026-08-08 12:39:20.067
S000038,Jamie,Smith,student38@edupredict.com,03297730119,Female,28,DEP014,Mechanical Engineering,T00130,8,2.39,51.0,Active,"USNS Davidson, FPO AA 93222",2022.0,2026-08-08 12:39:20.067
S000039,Jennifer,Dean,student39@edupredict.com,03485962361,Male,19,DEP020,Biology,T00034,5,2.66,94.0,Active,"3784 Zachary Lights Suite 945, Port Stephanie, ND 08887",2026.0,2026-08-08 12:39:20.068
S000040,Ebony,Little,student40@edupredict.com,03784749850,Male,20,DEP011,Marketing,T00011,1,2.25,74.0,Active,"38045 Robert Turnpike Suite 739, Copelandmouth, WY 80744",2026.0,2026-08-08 12:39:20.069
S000041,Jennifer,Wright,student41@edupredict.com,03390683249,Female,25,DEP019,Chemistry,T00128,4,2.5,52.0,Active,"1015 Carlos Glens, New Terriville, PA 95267",2024.0,2026-08-08 12:39:20.069
S000042,John,Richard,student42@edupredict.com,03768267423,Male,20,DEP010,Economics,T00134,5,3.27,50.0,Active,"832 Villa Lodge Apt. 701, North Alexander, WA 47238",2023.0,2026-08-08 12:39:20.070
S000043,Alexis,Anderson,student43@edupredict.com,03246265415,Male,22,DEP016,Architecture,T00008,4,2.21,58.0,Active,"3130 Ruiz Mount Apt. 160, Lake Seanton, WI 99806",2026.0,2026-08-08 12:39:20.071
S000044,Holly,Rios,student44@edupredict.com,03606175999,Female,28,DEP003,Information Technology,T00042,8,2.85,74.0,Active,"0822 Hayes Harbor, North Jacob, RI 54552",2026.0,2026-08-08 12:39:20.072
S000045,Rebecca,Riddle,student45@edupredict.com,03937275511,Male,24,DEP004,Artificial Intelligence,T00285,6,2.93,51.0,Active,"33034 Joel Dam, Sierramouth, MO 79653",2026.0,2026-08-08 12:39:20.073
S000046,Pamela,Lopez,student46@edupredict.com,03511147606,Male,22,DEP016,Architecture,T00008,3,3.54,59.0,Inactive,"969 Dixon Station, North Kennethborough, AZ 96421",2025.0,2026-08-08 12:39:20.074
S000047,Michael,Lee,student47@edupredict.com,03344491452,Male,27,DEP007,Business Administration,T00197,5,2.08,66.0,Active,"47025 Christopher Oval, Millerfort, MP 54940",2022.0,2026-08-08 12:39:20.074
S000048,John,Good,student48@edupredict.com,03261732745,Male,25,DEP019,Chemistry,T00005,2,3.25,50.0,Active,"99669 Donovan Villages Suite 717, Jonesland, NV 88780",2023.0,2026-08-08 12:39:21.298
S000049,Karen,Bryan,student49@edupredict.com,03963125534,Male,26,DEP015,Civil Engineering,T00125,7,3.09,64.0,Active,"613 Ellison Ports Suite 001, Pittshaven, KS 25952",2025.0,2026-08-08 12:39:21.299
S000050,Jennifer,Jones,student50@edupredict.com,03238393681,Male,21,DEP020,Biology,T00116,3,3.96,73.0,Active,"7641 Samuel Route Suite 224, Jasonberg, MP 97930",2022.0,2026-08-08 12:39:21.299
S000051,Robin,Moreno,student51@edupredict.com,03276584607,Female,26,DEP004,Artificial Intelligence,T00237,6,3.06,67.0,Active,"08184 Perry Islands, Hallmouth, NM 12323",2024.0,2026-08-08 12:39:21.301
S000052,Karen,Smith,student52@edupredict.com,03897882111,Male,23,DEP015,Civil Engineering,T00250,6,3.86,80.0,Active,"7128 Courtney Lodge Suite 738, Douglasfort, CA 74470",2021.0,2026-08-08 12:39:21.302
S000053,Carla,Rivera,student53@edupredict.com,03317330723,Male,19,DEP016,Architecture,T00189,1,3.81,64.0,Active,"512 Richardson Loaf, East Bobby, ND 14315",2021.0,2026-08-08 12:39:21.303
S000054,Douglas,Adams,student54@edupredict.com,03145341103,Male,21,DEP020,Biology,T00159,3,3.68,72.0,Active,"55940 Cox Court Apt. 043, East Michaelland, LA 47138",2024.0,2026-08-08 12:39:21.304
S000055,Megan,Ray,student55@edupredict.com,03871210642,Female,24,DEP005,Data Science,T00152,4,2.71,76.0,Active,"0841 Francisco Coves, West Amberside, ME 46562",2026.0,2026-08-08 12:39:21.304
S000056,James,Douglas,student56@edupredict.com,03232754528,Male,20,DEP017,Mathematics,T00054,8,2.2,92.0,Active,"018 Marquez Trafficway, Nashmouth, AS 86768",2021.0,2026-08-08 12:39:21.305
S000057,Angelica,Arnold,student57@edupredict.com,03704082991,Male,23,DEP015,Civil Engineering,T00020,1,2.36,85.0,Active,"Unit 5623 Box 7961, DPO AE 70414",2021.0,2026-08-08 12:39:21.306
S000058,Tara,Tapia,student58@edupredict.com,03944930947,Female,19,DEP008,Accounting,T00217,3,3.33,74.0,Active,"4159 Douglas Junctions Suite 103, West Felicia, AL 60182",2024.0,2026-08-08 12:39:21.306
S000059,Donald,Webb,student59@edupredict.com,03859336892,Male,23,DEP013,Electrical Engineering,T00065,3,2.34,51.0,Active,"3319 Crystal Village Apt. 426, New Marymouth, TX 13490",2026.0,2026-08-08 12:39:21.307
S000060,Andrea,Pineda,student60@edupredict.com,03733334718,Female,21,DEP006,Cyber Security,T00282,4,2.6,83.0,Active,"986 Davenport Canyon Apt. 154, West Joseph, MT 75268",2024.0,2026-08-08 12:39:21.308
S000061,Jesus,Hunter,student61@edupredict.com,03611841942,Male,19,DEP016,Architecture,T00158,1,2.95,55.0,Active,"6873 Andre Mountains Apt. 892, Tranland, NY 53136",2024.0,2026-08-08 12:39:21.309
S000062,Christine,Drake,student62@edupredict.com,03953094560,Male,18,DEP006,Cyber Security,T00276,1,2.19,64.0,Inactive,"9843 Kaitlyn Park Apt. 518, Deniseshire, CO 51184",2022.0,2026-08-08 12:39:21.309
S000063,Jacqueline,Mclaughlin,student63@edupredict.com,03337476359,Male,25,DEP007,Business Administration,T00245,6,3.72,58.0,Active,"6294 Moss Coves, North Teresa, MI 40900",2022.0,2026-08-08 12:39:21.310
S000064,Mary,Stewart,student64@edupredict.com,03579922659,Male,19,DEP015,Civil Engineering,T00125,8,3.98,52.0,Active,"9048 Colleen Estates, Harrisberg, MS 15442",2023.0,2026-08-08 12:39:21.311
S000065,Cynthia,Francis,student65@edupredict.com,03616169760,Male,27,DEP014,Mechanical Engineering,T00009,8,2.37,73.0,Active,"4305 Juan Spring, Brianton, VT 15836",2026.0,2026-08-08 12:39:21.311
S000066,Anthony,Deleon,student66@edupredict.com,03869016973,Male,27,DEP003,Information Technology,T00247,3,2.54,66.0,Active,"79532 Schmidt Wall Apt. 239, East Jonathan, FL 81826",2024.0,2026-08-08 12:39:21.312
S000067,Alicia,Chambers,student67@edupredict.com,03877891909,Male,22,DEP018,Physics,T00156,8,3.13,89.0,Active,"27963 Brett Ramp Apt. 590, Eugeneborough, VI 97908",2022.0,2026-08-08 12:39:21.313
S000068,Patrick,Santiago,student68@edupredict.com,03932338507,Male,25,DEP001,Computer Science,T00284,5,2.19,55.0,Active,"776 Hodge Hills Suite 773, New Benjamin, NM 70755",2021.0,2026-08-08 12:39:21.315
S000069,Stephen,Robinson,student69@edupredict.com,03159118895,Male,26,DEP003,Information Technology,T00111,3,3.38,55.0,Active,"429 Cunningham Row, Barnesstad, IL 74537",2021.0,2026-08-08 12:39:21.315
S000070,Kathryn,Morales,student70@edupredict.com,03599377698,Female,18,DEP012,Management,T00272,8,2.37,58.0,Active,"2344 Brenda Extensions Suite 509, Schroederport, RI 42541",2021.0,2026-08-08 12:39:21.316
S000071,William,Murphy,student71@edupredict.com,03851626065,Male,19,DEP009,Finance,T00279,5,3.36,65.0,Active,"610 Brandon Pike Apt. 408, Clarkport, OK 96072",2024.0,2026-08-08 12:39:21.317
S000072,Robert,Duncan,student72@edupredict.com,03350383323,Female,28,DEP017,Mathematics,T00261,6,3.79,70.0,Active,"244 Wallace Crossroad Apt. 359, New Daniel, ND 16786",2024.0,2026-08-08 12:39:21.318
S000073,Robert,Rojas,student73@edupredict.com,03721809053,Female,26,DEP006,Cyber Security,T00268,4,2.43,76.0,Active,"710 Williams Ville, Mcgeemouth, CO 03609",2023.0,2026-08-08 12:39:21.318
S000074,Ashley,Nguyen,student74@edupredict.com,03535181367,Female,18,DEP018,Physics,T00221,1,2.36,73.0,Active,"90410 Dana Estate, Kellyfort, MO 61260",2022.0,2026-08-08 12:39:21.320
S000075,Emily,Welch,student75@edupredict.com,03673023057,Female,20,DEP015,Civil Engineering,T00061,6,3.04,79.0,Active,"7151 Linda Ways, Port Melissabury, WA 16531",2022.0,2026-08-08 12:39:21.320
S000076,Jay,Mays,student76@edupredict.com,03725819834,Male,20,DEP017,Mathematics,T00108,4,3.63,80.0,Inactive,"063 Lee Tunnel Apt. 448, Palmerland, AK 20563",2022.0,2026-08-08 12:39:21.321
S000077,Dennis,Rivas,student77@edupredict.com,03560401431,Female,18,DEP013,Electrical Engineering,T00278,1,3.25,82.0,Inactive,"02268 Wells Route, New Kellichester, SD 57971",2023.0,2026-08-08 12:39:21.322
S000078,Nancy,Todd,student78@edupredict.com,03455864275,Male,28,DEP002,Software Engineering,T00265,2,3.45,54.0,Active,"5892 Hensley Turnpike Apt. 137, South Patricia, WI 90232",2026.0,2026-08-08 12:39:21.323
S000079,Cody,Williams,student79@edupredict.com,03807169794,Male,23,DEP006,Cyber Security,T00229,1,2.74,58.0,Active,"75228 Eileen Hill Suite 353, Lewisview, IA 22522",2024.0,2026-08-08 12:39:21.323
S000080,Sarah,Ibarra,student80@edupredict.com,03512838249,Female,21,DEP012,Management,T00026,4,3.88,90.0,Active,"542 Jessica Mountain Suite 699, East Christophermouth, ND 20947",2023.0,2026-08-08 12:39:21.324
S000081,Jessica,Weaver,student81@edupredict.com,03652270129,Male,23,DEP003,Information Technology,T00012,6,3.86,93.0,Active,"424 Christine Club Suite 810, South Joshuahaven, OR 71828",2026.0,2026-08-08 12:39:21.325
S000082,Elizabeth,Robertson,student82@edupredict.com,03568560267,Male,21,DEP008,Accounting,T00126,5,3.29,80.0,Active,"663 Johnathan Oval Suite 609, Lake Dawnville, CO 55810",2021.0,2026-08-08 12:39:21.325
S000083,Michelle,Avila,student83@edupredict.com,03388096764,Female,27,DEP006,Cyber Security,T00229,2,2.52,92.0,Active,"PSC 6038, Box 6590, APO AE 27441",2023.0,2026-08-08 12:39:21.326
S000084,Michael,Gregory,student84@edupredict.com,03190520181,Female,26,DEP020,Biology,T00127,3,3.8,82.0,Active,"10508 Rogers Avenue Apt. 993, West Lori, CO 25956",2023.0,2026-08-08 12:39:21.327
S000085,Andrew,Reyes,student85@edupredict.com,03774562388,Female,27,DEP005,Data Science,T00027,2,2.37,87.0,Active,"4453 Ashley Summit Suite 238, Port Benjamin, AZ 84749",2024.0,2026-08-08 12:39:21.327
S000086,Debbie,Contreras,student86@edupredict.com,03861978066,Male,21,DEP004,Artificial Intelligence,T00285,8,3.41,50.0,Active,"2970 Small Stream Suite 986, Matthewfort, ME 87049",2024.0,2026-08-08 12:39:21.328
S000087,Kevin,Wilson,student87@edupredict.com,03249234628,Male,22,DEP006,Cyber Security,T00256,7,2.33,92.0,Active,"78179 Dana Hill Apt. 090, Matthewhaven, HI 88803",2022.0,2026-08-08 12:39:21.329
S000088,Catherine,Evans,student88@edupredict.com,03976596744,Male,26,DEP019,Chemistry,T00040,1,3.41,72.0,Active,"94087 Heather Bridge, Port Katrinaport, WA 21166",2022.0,2026-08-08 12:39:21.330
S000089,Jennifer,Petersen,student89@edupredict.com,03620063317,Male,23,DEP017,Mathematics,T00144,8,3.12,69.0,Active,"Unit 8911 Box 6867, DPO AP 68917",2024.0,2026-08-08 12:39:21.330
S000090,Andrea,Fernandez,student90@edupredict.com,03762314280,Male,18,DEP020,Biology,T00179,2,2.69,69.0,Active,"1630 Vaughan Crossroad, Stephaniechester, FM 94592",2023.0,2026-08-08 12:39:21.331
S000091,Mason,Ortiz,student91@edupredict.com,03197285512,Female,24,DEP008,Accounting,T00063,4,2.56,55.0,Active,"78450 Melissa Flat Apt. 039, South Josephview, MT 69463",2025.0,2026-08-08 12:39:21.332
S000092,Mark,Harris,student92@edupredict.com,03623276133,Female,22,DEP009,Finance,T00209,7,2.39,74.0,Active,"564 Lewis Corner Suite 726, New John, NM 63312",2025.0,2026-08-08 12:39:21.332
S000093,David,Wallace,student93@edupredict.com,03460257132,Female,23,DEP008,Accounting,T00046,5,3.25,83.0,Active,"7849 Hendricks Overpass Suite 384, North Erikafort, NV 94405",2021.0,2026-08-08 12:39:21.796
S000094,Marissa,Hart,student94@edupredict.com,03622638924,Female,20,DEP020,Biology,T00034,6,2.35,62.0,Active,"662 Rachel Course, East Kaylahaven, CA 07626",2022.0,2026-08-08 12:39:21.797
S000095,Gloria,Wilson,student95@edupredict.com,03166259351,Male,24,DEP007,Business Administration,T00018,2,2.18,92.0,Active,"60583 Edwards Mall Apt. 145, West John, NE 12769",2023.0,2026-08-08 12:39:21.798
S000096,Derek,Wilson,student96@edupredict.com,03288514106,Male,25,DEP005,Data Science,T00258,1,3.97,97.0,Active,"58557 Ellis Pike Suite 988, East Jennifer, UT 83780",2023.0,2026-08-08 12:39:21.799
S000097,Shawn,Smith,student97@edupredict.com,03974444217,Male,23,DEP012,Management,T00097,8,2.84,55.0,Active,"201 Nathan Well Suite 618, South Davidburgh, DC 84998",2025.0,2026-08-08 12:39:21.799
S000098,Matthew,Murray,student98@edupredict.com,03634944872,Female,27,DEP018,Physics,T00221,4,2.66,88.0,Active,"8921 Williams Spur Apt. 866, Brittanyshire, NH 04264",2021.0,2026-08-08 12:39:21.800
S000099,Dawn,Howard,student99@edupredict.com,03606868596,Male,19,DEP013,Electrical Engineering,T00210,3,2.44,55.0,Active,"Unit 2186 Box 6944, DPO AA 24834",2026.0,2026-08-08 12:39:21.800
S000100,Stephen,Morales,student100@edupredict.com,03690224888,Female,23,DEP019,Chemistry,T00045,2,3.88,69.0,Active,"30559 Sheila Plains Suite 207, Colonhaven, NM 49327",2025.0,2026-08-08 12:39:21.801
S000101,Barbara,Harris,student101@edupredict.com,03189096436,Female,23,DEP011,Marketing,T00246,5,2.76,88.0,Active,"USS Huerta, FPO AE 60404",2025.0,2026-08-08 12:39:21.802
S000102,Amber,Cunningham,student102@edupredict.com,03921451825,Female,18,DEP006,Cyber Security,T00113,4,3.05,88.0,Active,"98949 Jacob Loaf Suite 740, Nathanielfort, MT 83152",2026.0,2026-08-08 12:39:21.803
S000103,Denise,Mccoy,student103@edupredict.com,03672271267,Male,27,DEP017,Mathematics,T00077,8,2.92,66.0,Active,"61208 Nicole Curve, Lake Jeremymouth, SD 71986",2022.0,2026-08-08 12:39:21.804
S000104,Lisa,Robertson,student104@edupredict.com,03915487509,Female,28,DEP005,Data Science,T00283,3,2.94,78.0,Active,"29287 Barton Harbor Apt. 564, Port Garrett, LA 69986",2021.0,2026-08-08 12:39:21.805
S000105,Ashley,Anderson,student105@edupredict.com,03964472809,Female,22,DEP001,Computer Science,T00060,3,4.0,73.0,Active,"5867 Harris Keys Apt. 988, West Melissa, FM 54377",2026.0,2026-08-08 12:39:21.805
S000106,Theodore,Smith,student106@edupredict.com,03133940003,Female,26,DEP007,Business Administration,T00275,5,2.63,89.0,Active,"PSC 4370, Box 4061, APO AE 88462",2025.0,2026-08-08 12:39:21.806
S000107,James,Morris,student107@edupredict.com,03637366370,Female,18,DEP017,Mathematics,T00239,3,2.02,75.0,Inactive,"4803 Johnson Drive Apt. 140, Courtneyfort, MO 67335",2024.0,2026-08-08 12:39:21.807
S000108,Stephanie,Sanders,student108@edupredict.com,03453510513,Male,26,DEP008,Accounting,T00191,4,3.83,71.0,Active,"6878 James Ramp Suite 054, South Andrewville, MP 21693",2022.0,2026-08-08 12:39:21.807
S000109,Ashley,Solomon,student109@edupredict.com,03722290623,Female,20,DEP002,Software Engineering,T00062,2,2.33,86.0,Active,"667 Holmes Mount, North Sierra, IL 23842",2024.0,2026-08-08 12:39:21.808
S000110,Melanie,Brewer,student110@edupredict.com,03259451663,Female,18,DEP015,Civil Engineering,T00196,2,2.78,56.0,Active,"5560 Johnson Field, Vincentview, AR 87452",2026.0,2026-08-08 12:39:21.809
S000111,Marcus,Jones,student111@edupredict.com,03432152219,Female,24,DEP005,Data Science,T00115,4,3.65,66.0,Active,"602 Carlson Mountains Apt. 273, New David, AR 38637",2025.0,2026-08-08 12:39:21.810
S000112,Kylie,Lee,student112@edupredict.com,03333964865,Female,28,DEP007,Business Administration,T00188,3,3.31,66.0,Active,"9305 Vicki Fords Apt. 686, Petersshire, TN 49814",2021.0,2026-08-08 12:39:21.810
S000113,Mario,Davis,student113@edupredict.com,03259672003,Female,25,DEP016,Architecture,T00234,6,3.9,89.0,Active,"0883 Andrea Extensions, New Jessica, MD 61473",2021.0,2026-08-08 12:39:21.811
S000114,James,Meyers,student114@edupredict.com,03429376109,Male,20,DEP010,Economics,T00168,2,3.93,70.0,Active,"64085 Tony Causeway Apt. 186, West Deborahbury, OH 24684",2021.0,2026-08-08 12:39:21.812
S000115,Jared,Jacobs,student115@edupredict.com,03941492702,Male,22,DEP020,Biology,T00080,1,3.19,84.0,Active,"04402 Espinoza Drive Suite 636, North Jennifer, IA 23100",2025.0,2026-08-08 12:39:21.813
S000116,Barbara,Christensen,student116@edupredict.com,03931028558,Male,22,DEP015,Civil Engineering,T00151,6,2.13,98.0,Active,"9774 Willie Island, Mccoymouth, ID 77792",2023.0,2026-08-08 12:39:21.813
S000117,William,Henson,student117@edupredict.com,03537948333,Female,25,DEP001,Computer Science,T00253,6,3.79,50.0,Active,"USS Myers, FPO AP 27573",2026.0,2026-08-08 12:39:21.814
S000118,Jennifer,Brown,student118@edupredict.com,03254092230,Male,25,DEP019,Chemistry,T00153,1,3.42,77.0,Active,"534 Matthew Haven, Port Jenniferbury, AL 74260",2023.0,2026-08-08 12:39:21.815
S000119,Jeffrey,Melton,student119@edupredict.com,03739116541,Male,18,DEP012,Management,T00266,5,2.4,79.0,Active,"714 Martin Underpass Suite 997, South Lisaton, SD 51987",2026.0,2026-08-08 12:39:21.816
S000120,Walter,Lee,student120@edupredict.com,03233180689,Female,19,DEP007,Business Administration,T00124,2,3.07,97.0,Active,"582 Jeffrey Freeway, Sethside, GU 13657",2025.0,2026-08-08 12:39:21.816
S000121,Raymond,Bell,student121@edupredict.com,03597238661,Male,18,DEP016,Architecture,T00007,3,3.76,50.0,Active,"2648 Ramirez Ways, Port Sherry, NV 90017",2023.0,2026-08-08 12:39:21.817
S000122,Kathleen,Swanson,student122@edupredict.com,03290282157,Male,18,DEP002,Software Engineering,T00194,5,2.16,52.0,Active,"8210 Carrillo Unions, East Staceyton, CO 46521",2023.0,2026-08-08 12:39:21.818
S000123,Julie,Lin,student123@edupredict.com,03396344355,Female,28,DEP019,Chemistry,T00227,2,2.01,57.0,Active,"532 Angelica Shores, North Roberto, AZ 24782",2025.0,2026-08-08 12:39:21.819
S000124,Justin,Decker,student124@edupredict.com,03468716153,Male,28,DEP015,Civil Engineering,T00196,2,3.41,74.0,Inactive,"600 Danielle Square, Gilbertland, WY 34201",2026.0,2026-08-08 12:39:21.820
S000125,Maria,Turner,student125@edupredict.com,03193593853,Male,22,DEP012,Management,T00056,5,2.11,74.0,Active,"PSC 8763, Box 8352, APO AA 44344",2021.0,2026-08-08 12:39:21.821
S000126,Amanda,Robles,student126@edupredict.com,03920648659,Male,28,DEP019,Chemistry,T00297,5,3.24,87.0,Active,"Unit 8915 Box 9113, DPO AA 74377",2026.0,2026-08-08 12:39:21.821
S000127,Mark,Phillips,student127@edupredict.com,03277818908,Male,18,DEP004,Artificial Intelligence,T00300,5,3.42,76.0,Inactive,"10511 Copeland Corner Suite 730, Colemanview, OR 23374",2024.0,2026-08-08 12:39:21.822
S000128,Summer,Byrd,student128@edupredict.com,03354410673,Female,20,DEP006,Cyber Security,T00229,6,3.71,64.0,Active,"496 Jensen Mission, East Melissa, KS 49103",2024.0,2026-08-08 12:39:21.822
S000129,Melanie,Guerra,student129@edupredict.com,03922691098,Female,22,DEP018,Physics,T00172,1,3.29,74.0,Active,"928 Kaufman Overpass Apt. 870, Christinemouth, OR 95748",2023.0,2026-08-08 12:39:21.823
